,甘肃,青海,四川,河北,云南,贵州,湖北,河南,山东,江苏,安徽,浙江,江西,福建,广东,湖南,海南,辽宁,吉林,黑龙江,山西,陕西,台湾,北京,上海,重庆,天津,内蒙古,广西,西藏,宁夏,新疆,香港,澳门
甘肃,inf,0.23579344494222856,0.0346758673301316,0.00836382645060115,0.008211522243782026,0.01016549424633026,0.007027579736676589,0.009998070372418118,0.005666451152641165,0.004125027947064343,0.004982052157104038,0.0032870462438100837,0.004953238947714106,0.002928880341765191,0.00390797653181933,0.006798775948378257,0.0033317285507480578,0.002384271059193346,0.0018901915879291624,0.0016158001991958496,0.012372317681526655,0.03295327225993543,0.0023271784892376153,0.005643818607669958,0.002956842517976124,0.020255338800924443,0.005234207219123281,0.011672629434869644,0.005124628400383118,0.00510235320529828,0.08061135652790799,0.0031495061101993295,0.003355073088589699,0.003474856114895422
青海,0.23579344494222856,inf,0.024953524061435552,0.006080191647640725,0.0074799630489825325,0.008032063999485946,0.00514174505685484,0.00689236401882717,0.004294136313921973,0.00321758603825066,0.003798368904425061,0.002630938521544097,0.0038121828978613242,0.0023912918715206693,0.0032094475866719318,0.005088796962598866,0.0028760119607585417,0.0020171571316993826,0.0016366223714821826,0.0014205187109304085,0.00846451927455683,0.01747390272627827,0.0019397343921696798,0.0043865805727119605,0.0023912964461508712,0.013962404828758056,0.004071387712144742,0.008594336160583438,0.004316549868021486,0.006392840019178522,0.04137531548678059,0.004005323876496644,0.002789997190472828,0.0028923727840447435
四川,0.0346758673301316,0.024953524061435552,inf,0.006144544259152297,0.02988125190492979,0.04195950907374389,0.009516106009420945,0.009199953632233691,0.004921162969232892,0.0045755010288014075,0.005684395538431635,0.003841057058902612,0.0069488357225746845,0.003947487365079818,0.007117995003167505,0.011631261107854361,0.006536520191964527,0.0020115086455647357,0.001592944656960962,0.001357199597780328,0.008091865328703712,0.027120776956018222,0.003039262407484854,0.0041784621170178355,0.003292084610524991,0.13667176907937853,0.004094480967214671,0.0062254638904417955,0.012572006165311823,0.005945568322011978,0.015215118959407602,0.0022731695075223733,0.005793601777940514,0.00618120320829171
河北,0.00836382645060115,0.006080191647640725,0.006144544259152297,inf,0.0032594247897508033,0.0052163616399197674,0.017721384394548893,0.0878595652708709,0.12114163880408993,0.018392462033360243,0.021808823850129774,0.010755348096841163,0.011184356217271775,0.0060228301399284125,0.004490761157071556,0.010139643165677711,0.0029289695592193696,0.010704013684011113,0.006562566856149856,0.004825768057179565,0.2612261957629103,0.022362109641423572,0.004640104235301544,0.13346680013346748,0.010484806990430513,0.0074472806999252295,0.1161656056874681,0.06331919204710953,0.0037235821157840395,0.0016363384962540116,0.014793402734116664,0.0013312253823146176,0.004029681018509937,0.0039715762232851925
云南,0.008211522243782026,0.0074799630489825325,0.02988125190492979,0.0032594247897508033,inf,0.05500156754467526,0.006092850162191672,0.004678914192456841,0.0029548644455935596,0.003261552009523733,0.003877111086986868,0.003011141222523338,0.005363793961655312,0.0036278349262551884,0.008788550978868808,0.008656374814104357,0.01200987692278132,0.0014137870534147135,0.0011539216025663222,0.0009998859130173252,0.003836578631254536,0.008072243349076894,0.002899853557395354,0.0024394569476099796,0.002565715017309596,0.028394087215278273,0.0024515271788560678,0.003043447032456536,0.027624309392265244,0.006276309504905873,0.005184127239218961,0.0017321554214559318,0.007220675393093572,0.008001369834515666
贵州,0.01016549424633026,0.008032063999485946,0.04195950907374389,0.0052163616399197674,0.05500156754467526,inf,0.013630942238882239,0.0086775651099404,0.004819497760138413,0.005694572730513452,0.007168576972953674,0.005119633024704786,0.011270844017154209,0.006299284023377898,0.018471143456135607,0.023666566478201864,0.017808772957734434,0.0019613927300586183,0.0015453903555587767,0.0013077386217585736,0.006189558956786974,0.015550261555399342,0.004645983059816565,0.003659183636130779,0.004170569624740481,0.10929797908036687,0.0037342177952655307,0.004396259486578437,0.0604693631971361,0.003922799309587324,0.007052007142272836,0.0015198009547085648,0.013503349505844904,0.015189881108800523
湖北,0.007027579736676589,0.00514174505685484,0.009516106009420945,0.017721384394548893,0.006092850162191672,0.013630942238882239,inf,0.05430886537918455,0.022314953250172954,0.044860550977287125,0.09472208540143254,0.02886669360891408,0.1700102006120369,0.02241463944931716,0.018071418244903867,0.14179972207254474,0.007940818666641251,0.004773194503380142,0.003329213985894787,0.002605963016694061,0.01748529923466846,0.023368799381194183,0.012658195802035957,0.01075471190815476,0.019268231118578612,0.01632978323845731,0.012123533961655678,0.008836607590999385,0.010554891770139784,0.001856863664427598,0.007822026984428685,0.001130301878765177,0.0147238107578051,0.014289429537394012
河南,0.009998070372418118,0.00689236401882717,0.009199953632233691,0.0878595652708709,0.004678914192456841,0.0086775651099404,0.05430886537918455,inf,0.06759222959728567,0.029660124631843747,0.04648049678354979,0.015867575561394856,0.023818597560975638,0.009322714140413135,0.007421899353107255,0.02308136180034624,0.004382935304368558,0.006933153995749986,0.004544124356324789,0.0034570914452543666,0.09152061501853286,0.04478260285444306,0.006527611142371124,0.028967287242517053,0.013542703529905682,0.012939791151770814,0.03154633841649998,0.024555785834258253,0.005868930352229722,0.0018832544218343001,0.01465663175945533,0.0013234147806903194,0.006409401823346634,0.0063284330167007385
山东,0.005666451152641165,0.004294136313921973,0.004921162969232892,0.12114163880408993,0.0029548644455935596,0.004819497760138413,0.022314953250172954,0.06759222959728567,inf,0.04094920251428103,0.04344614849893559,0.019604691010465004,0.015443299924327834,0.008545920220416375,0.005097021810156328,0.011463472790300988,0.0031174071651733242,0.014874997954687797,0.008197030379833997,0.005696483389908909,0.046578137153982686,0.014191059916074087,0.006514046890715142,0.0910373708407299,0.020179476261873087,0.006279229814787844,0.1615404497286115,0.021733744245991234,0.0037610245030746375,0.0013987686639451292,0.008442715751490344,0.0010984704019347143,0.004661878606545839,0.004523593252970194
江苏,0.004125027947064343,0.00321758603825066,0.0045755010288014075,0.018392462033360243,0.003261552009523733,0.005694572730513452,0.044860550977287125,0.029660124631843747,0.04094920251428103,inf,0.4324324324324295,0.19392999127315108,0.05091209009403463,0.027939204291461774,0.009119353182517475,0.020799836929278476,0.004639395987757559,0.008589766495787585,0.005454034758563517,0.004006625355688167,0.013688991586745776,0.009842345312779891,0.018021102711274918,0.014819908472245256,0.1255902742891588,0.006417657285549173,0.018952136379573374,0.007817061988519865,0.0051588273985323126,0.0012988467020593733,0.005054461826177055,0.0009051388261200258,0.008582976353041852,0.008033412569559318
